                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date 
                                     383                                      783                  1.0000000000000000E+000                  2.0000000000000000E-002                  4.6000000000000000E+009                  3.8254200486649431E+007                  5.7659039652804822E+003                  1.0096399103016382E+000                  1.0069353931743392E+000                 -1.5266500619290444E+000                  3.4146099969424176E-001                  7.5245177467948993E-006                  6.3803811822205148E-001                  2.1743741772707844E-005                  5.5488322235784778E-003                  8.7605353474782457E-003                  2.0850244238750384E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  6.6170486468233469E-001                  7.4742950289149904E-004                  3.1739955572855671E-001                  2.5515353921518368E-003                  2.0624373975574092E-003                  9.3719310433775863E-003                  2.0850244238750379E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999990075172E-001                  1.0067263955759036E+000                  9.9999999982459142E-001                  1.0066044323739980E+000                  1.0112521683798761E+004                  2.3163959254500486E+007                  9.9045213030578575E+009                  1.0095195123072251E+000                  1.0095195123072256E+000                  1.5601864343321597E-043                  2.4633781441733948E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.4516496000000000E+017                                  "15140"                               "gfortran"                                  "9.3.0"                    "x86_64-macos-20.9.1"                                 "CRMATH"                               "20210416" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                     grav                                       cp                                  opacity                               luminosity                                 log_Lrad                           log_Lrad_div_L                                 conv_vel                             conv_L_div_L                                    gradT                                    gradr                                    gradL                          grada_sub_gradT                          gradr_sub_gradT                          gradr_div_grada                                 brunt_N2                  brunt_N2_structure_term                brunt_N2_composition_term 
                                       1                  1.0000000000000000E+000                  3.0016063152889299E-003                  3.7610751902689405E+000                 -6.8084846456364110E+000                  4.7564773629976367E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  2.7043594456729330E+004                  1.6431385301474759E+008                  3.1707958702078320E-001                  1.0096399103016382E+000                  4.1665095716036313E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2524239438216561E-001                  1.2524239438216561E-001                  3.8921651111342681E-001                  2.6397411673126120E-001                  0.0000000000000000E+000                  3.2178078474596633E-001                  5.2808865303059836E-004                  5.2808865303059836E-004                  0.0000000000000000E+000 
                                       2                  9.9999999999949996E-001                  3.0009632350799053E-003                  3.7616484066013212E+000                 -6.8045212212000079E+000                  4.7610149472013461E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  2.7043674546271865E+004                  1.6435562280562487E+008                  3.2187921865433677E-001                  1.0096399103016385E+000                  4.1665095716037267E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2617017989927828E-001                  1.2617017989927828E-001                  3.8918336718873114E-001                  2.6301318728945289E-001                  0.0000000000000000E+000                  3.2419211748608245E-001                  5.2592002981564163E-004                  5.2592002981564163E-004                  0.0000000000000000E+000 
                                       3                  9.9999999999862499E-001                  2.9998480616726065E-003                  3.7623872212803451E+000                 -6.7995538849917869E+000                  4.7667223805678551E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  2.7043813431108076E+004                  1.6441040968757078E+008                  3.2812799385203462E-001                  1.0096399103016385E+000                  4.1665095716037267E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2944962939555105E-001                  1.2944962939555105E-001                  3.8906559800687518E-001                  2.5961596861132413E-001                  0.0000000000000000E+000                  3.3271928964858916E-001                  5.1826595295398760E-004                  5.1826595295398760E-004                  0.0000000000000000E+000 
                                       4                  9.9999999999775002E-001                  2.9987455621882549E-003                  3.7635622345170070E+000                 -6.7919110015254294E+000                  4.7755424462072886E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  2.7043950738221833E+004                  1.6449977199375618E+008                  3.3824656929916735E-001                  1.0096399103016385E+000                  4.1665095716037267E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3279836677706119E-001                  1.3279836677706119E-001                  3.8894383731986165E-001                  2.5614547054280046E-001                  0.0000000000000000E+000                  3.4143327142589430E-001                  5.1047935625436411E-004                  5.1047935625436411E-004                  0.0000000000000000E+000 
                                       5                  9.9999999999587497E-001                  2.9964242483178681E-003                  3.7652089746341093E+000                 -6.7818150590561057E+000                  4.7872884695240678E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  2.7044239840778333E+004                  1.6463009174352577E+008                  3.5274707373639330E-001                  1.0096399103016385E+000                  4.1665095716037267E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4020392098688264E-001                  1.4020392098688264E-001                  3.8866906664595746E-001                  2.4846514565907482E-001                  0.0000000000000000E+000                  3.6072827250385686E-001                  4.9335770815300633E-004                  4.9335770815300633E-004                  0.0000000000000000E+000 
                                       6                  9.9999999999400013E-001                  2.9941562391401066E-003                  3.7671821015986322E+000                 -6.7704784565480134E+000                  4.8006026019505024E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  2.7044522307611453E+004                  1.6479445858602116E+008                  3.7070336697468259E-001                  1.0096399103016387E+000                  4.1665095716038230E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4793277612181757E-001                  1.4793277612181757E-001                  3.8837403633954659E-001                  2.4044126021772902E-001                  0.0000000000000000E+000                  3.8090284694645066E-001                  4.7562721153385017E-004                  4.7562721153385017E-004                  0.0000000000000000E+000 
                                       7                  9.9999999999150013E-001                  2.9912100897598248E-003                  3.7695212436158267E+000                 -6.7580904516980214E+000                  4.8153355362695835E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  2.7044889237111078E+004                  1.6500205639509416E+008                  3.9280342197869927E-001                  1.0096399103016387E+000                  4.1665095716038230E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5878443735425518E-001                  1.5878443735425518E-001                  3.8794498869480876E-001                  2.2916055134055358E-001                  0.0000000000000000E+000                  4.0929627133080154E-001                  4.5096509080027545E-004                  4.5096509080027545E-004                  0.0000000000000000E+000 
                                       8                  9.9999999998900002E-001                  2.9883467329318084E-003                  3.7722502709224122E+000                 -6.7448282722453952E+000                  4.8313341995484427E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  2.7045245859943614E+004                  1.6526297152991423E+008                  4.1982306508123440E-001                  1.0096399103016387E+000                  4.1665095716038230E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7030754078562357E-001                  1.7030754078562357E-001                  3.8746992089856847E-001                  2.1716238011294489E-001                  0.0000000000000000E+000                  4.3953744948941864E-001                  4.2506061544021517E-004                  4.2506061544021517E-004                  0.0000000000000000E+000 
                                       9                  9.9999999998587508E-001                  2.9848751079188125E-003                  3.7754281558350327E+000                 -6.7309039700192237E+000                  4.8484460231857121E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  2.7045678247128399E+004                  1.6559464137590462E+008                  4.5297490557860692E-001                  1.0096399103016387E+000                  4.1665095716038230E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8573601035184470E-001                  1.8573601035184470E-001                  3.8680148074911458E-001                  2.0106547039726988E-001                  0.0000000000000000E+000                  4.8018433122885573E-001                  3.9080660128876742E-004                  3.9080660128876341E-004                  4.0248974316174219E-018 
